食品名,エネルギー（kcal）
＜魚類＞　（かつお類）　加工品　なまり節,162
＜魚類＞　（かつお類）　加工品　裸節,309
＜魚類＞　（かつお類）　加工品　かつお節,332
＜魚類＞　（かつお類）　加工品　削り節,327
＜魚類＞　（かつお類）　加工品　削り節つくだ煮,233
＜魚類＞　（かつお類）　加工品　角煮,221
＜魚類＞　（かつお類）　加工品　塩辛,58
＜魚類＞　（かつお類）　缶詰　味付け　フレーク,139
＜魚類＞　（かつお類）　缶詰　油漬　フレーク,289
＜魚類＞　かます　生,137
＜魚類＞　かます　焼き,134
＜魚類＞　（かれい類）　まがれい　生,89
＜魚類＞　（かれい類）　まがれい　水煮,97
＜魚類＞　（かれい類）　まがれい　焼き,104
＜魚類＞　（かれい類）　まこがれい　生,86
＜魚類＞　（かれい類）　まこがれい　焼き,138
＜魚類＞　（かれい類）　子持ちがれい　生,123
＜魚類＞　（かれい類）　子持ちがれい　水煮,137
＜魚類＞　（かれい類）　干しかれい,104
＜魚類＞　かわはぎ　生,77
＜魚類＞　かんぱち　三枚おろし　生,119
＜魚類＞　かんぱち　背側　生,95
＜魚類＞　きす　生,73
＜魚類＞　きす　天ぷら,234
＜魚類＞　きちじ　生,238
＜魚類＞　きびなご　生,85
＜魚類＞　きびなご　調味干し,241
＜魚類＞　キャビア　塩蔵品,242
＜魚類＞　キングクリップ　生,73
＜魚類＞　ぎんだら　生,210
＜魚類＞　ぎんだら　水煮,253
＜魚類＞　きんめだい　生,147
＜魚類＞　ぐち　生,78
＜魚類＞　ぐち　焼き,100
＜魚類＞　こい　養殖　生,157
＜魚類＞　こい　養殖　水煮,190
＜魚類＞　こい　養殖　内臓　生,258
＜魚類＞　（こち類）　まごち　生,94
＜魚類＞　（こち類）　めごち　生,73
＜魚類＞　このしろ　生,146
＜魚類＞　このしろ　甘酢漬,184
＜魚類＞　（さけ・ます類）　からふとます　生,139
＜魚類＞　（さけ・ます類）　からふとます　焼き,175
＜魚類＞　（さけ・ます類）　からふとます　塩ます,146
＜魚類＞　（さけ・ます類）　からふとます　水煮缶詰,145
＜魚類＞　（さけ・ます類）　ぎんざけ　養殖　生,188
＜魚類＞　（さけ・ます類）　ぎんざけ　養殖　焼き,236
＜魚類＞　（さけ・ます類）　さくらます　生,146
＜魚類＞　（さけ・ます類）　さくらます　焼き,208
＜魚類＞　（さけ・ます類）　しろさけ　生,124
＜魚類＞　（さけ・ます類）　しろさけ　水煮,142
＜魚類＞　（さけ・ます類）　しろさけ　焼き,160
＜魚類＞　（さけ・ます類）　しろさけ　新巻き　生,138
＜魚類＞　（さけ・ます類）　しろさけ　新巻き　焼き,177
＜魚類＞　（さけ・ます類）　しろさけ　塩ざけ,183
＜魚類＞　（さけ・ます類）　しろさけ　イクラ,252
＜魚類＞　（さけ・ます類）　しろさけ　すじこ,263
＜魚類＞　（さけ・ます類）　しろさけ　めふん,74
＜魚類＞　（さけ・ます類）　しろさけ　水煮缶詰,156
＜魚類＞　（さけ・ます類）　しろさけ　サケ節　削り節,346
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　生,218
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　水煮,236
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　蒸し,230
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　電子レンジ調理,223
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　焼き,270
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　ソテー,266
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮つき　天ぷら,282
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　生,223
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　水煮,244
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　蒸し,228
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　電子レンジ調理,231
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　焼き,229
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　ソテー,269
＜魚類＞　（さけ・ます類）　たいせいようさけ　養殖　皮なし　天ぷら,266
＜魚類＞　（さけ・ます類）　にじます　海面養殖　皮つき　生,201
＜魚類＞　（さけ・ます類）　にじます　海面養殖　皮なし　生,176
＜魚類＞　（さけ・ます類）　にじます　海面養殖　皮つき　焼き,238
＜魚類＞　（さけ・ます類）　にじます　淡水養殖　皮つき　生,116
＜魚類＞　（さけ・ます類）　べにざけ　生,127
＜魚類＞　（さけ・ます類）　べにざけ　焼き,163
＜魚類＞　（さけ・ます類）　べにざけ　くん製,143
＜魚類＞　（さけ・ます類）　ますのすけ　生,176
＜魚類＞　（さけ・ます類）　ますのすけ　焼き,238
＜魚類＞　（さば類）　まさば　生,211
＜魚類＞　（さば類）　まさば　水煮,253
＜魚類＞　（さば類）　まさば　焼き,264
＜魚類＞　（さば類）　まさば　フライ,316
＜魚類＞　（さば類）　ごまさば　生,131
＜魚類＞　（さば類）　ごまさば　水煮,139
＜魚類＞　（さば類）　ごまさば　焼き,174
＜魚類＞　（さば類）　ごまさば　さば節,330
＜魚類＞　（さば類）　たいせいようさば　生,295
＜魚類＞　（さば類）　たいせいようさば　水煮,310
＜魚類＞　（さば類）　たいせいようさば　焼き,326
＜魚類＞　（さば類）　加工品　塩さば,263
＜魚類＞　（さば類）　加工品　開き干し,303
＜魚類＞　（さば類）　加工品　しめさば,292
＜魚類＞　（さば類）　缶詰　水煮,174
＜魚類＞　（さば類）　缶詰　みそ煮,210
＜魚類＞　（さば類）　缶詰　味付け,208
＜魚類＞　（さめ類）　あぶらつのざめ　生,138
＜魚類＞　（さめ類）　よしきりざめ　生,79
＜魚類＞　（さめ類）　ふかひれ,344
＜魚類＞　さより　生,88
＜魚類＞　さわら　生,161
＜魚類＞　さわら　焼き,184
＜魚類＞　さんま　皮つき　生,287
＜魚類＞　さんま　皮なし　生,277
＜魚類＞　さんま　皮つき　焼き,281
＜魚類＞　さんま　開き干し,232
＜魚類＞　さんま　みりん干し,382
＜魚類＞　さんま　缶詰　味付け,259
＜魚類＞　さんま　缶詰　かば焼,219
＜魚類＞　しいら　生,100
＜魚類＞　（ししゃも類）　ししゃも　生干し　生,152
＜魚類＞　（ししゃも類）　ししゃも　生干し　焼き,162
＜魚類＞　（ししゃも類）　からふとししゃも　生干し　生,160
＜魚類＞　（ししゃも類）　からふとししゃも　生干し　焼き,170
＜魚類＞　したびらめ　生,89
＜魚類＞　しまあじ　養殖　生,153
＜魚類＞　しらうお　生,70
＜魚類＞　シルバー　生,138
＜魚類＞　すずき　生,113
＜魚類＞　（たい類）　きだい　生,100
＜魚類＞　（たい類）　くろだい　生,137
＜魚類＞　（たい類）　ちだい　生,97
＜魚類＞　（たい類）　まだい　天然　生,129
＜魚類＞　（たい類）　まだい　養殖　皮つき　生,160
＜魚類＞　（たい類）　まだい　養殖　皮つき　水煮,182
＜魚類＞　（たい類）　まだい　養殖　皮つき　焼き,186
＜魚類＞　（たい類）　まだい　養殖　皮なし　生,131
＜魚類＞　たかさご　生,93
＜魚類＞　たかべ　生,148
＜魚類＞　たちうお　生,238
＜魚類＞　（たら類）　すけとうだら　生,72
＜魚類＞　（たら類）　すけとうだら　フライ,195
＜魚類＞　（たら類）　すけとうだら　すり身,98
＜魚類＞　（たら類）　すけとうだら　すきみだら,165
＜魚類＞　（たら類）　すけとうだら　たらこ　生,131
＜魚類＞　（たら類）　すけとうだら　たらこ　焼き,158
＜魚類＞　（たら類）　すけとうだら　からしめんたいこ,121
＜魚類＞　（たら類）　まだら　生,72
＜魚類＞　（たら類）　まだら　焼き,103
＜魚類＞　（たら類）　まだら　しらこ　生,60
＜魚類＞　（たら類）　まだら　塩だら,61
＜魚類＞　（たら類）　まだら　干しだら,299
＜魚類＞　（たら類）　加工品　でんぶ,276
＜魚類＞　（たら類）　加工品　桜でんぶ,351
＜魚類＞　ちか　生,82
＜魚類＞　どじょう　生,72
＜魚類＞　どじょう　水煮,76
＜魚類＞　とびうお　生,89
＜魚類＞　とびうお　煮干し,325
＜魚類＞　とびうお　焼き干し,309
＜魚類＞　ナイルティラピア　生,124
＜魚類＞　なまず　生,145
＜魚類＞　にぎす　生,84
＜魚類＞　にしん　生,196
＜魚類＞　にしん　身欠きにしん,224
＜魚類＞　にしん　開き干し,239
＜魚類＞　にしん　くん製,280
＜魚類＞　にしん　かずのこ　生,139
＜魚類＞　にしん　かずのこ　乾,358
＜魚類＞　にしん　かずのこ　塩蔵　水戻し,80
＜魚類＞　はぜ　生,78
＜魚類＞　はぜ　つくだ煮,277
＜魚類＞　はぜ　甘露煮,260
＜魚類＞　はたはた　生,101
＜魚類＞　はたはた　生干し,154
＜魚類＞　はまふえふき　生,85
＜魚類＞　はも　生,132
＜魚類＞　ひらまさ　生,128
＜魚類＞　ひらめ　天然　生,96
＜魚類＞　ひらめ　養殖　皮つき　生,115
＜魚類＞　ひらめ　養殖　皮なし　生,100
＜魚類＞　（ふぐ類）　とらふぐ　養殖　生,80
＜魚類＞　（ふぐ類）　まふぐ　生,78
＜魚類＞　ふな　生,93
＜魚類＞　ふな　水煮,104
＜魚類＞　ふな　甘露煮,266
＜魚類＞　ふな　ふなずし,181
＜魚類＞　ぶり　成魚　生,222
＜魚類＞　ぶり　成魚　焼き,260
＜魚類＞　ぶり　はまち　養殖　皮つき　生,217
＜魚類＞　ぶり　はまち　養殖　皮なし　生,180
＜魚類＞　ほうぼう　生,110
＜魚類＞　ホキ　生,78
＜魚類＞　ほっけ　生,103
＜魚類＞　ほっけ　塩ほっけ,113
＜魚類＞　ほっけ　開き干し　生,161
＜魚類＞　ほっけ　開き干し　焼き,179
＜魚類＞　ぼら　生,119
＜魚類＞　ぼら　からすみ,353
＜魚類＞　ほんもろこ　生,103
＜魚類＞　（まぐろ類）　きはだ　生,102
＜魚類＞　（まぐろ類）　くろまぐろ　天然　赤身　生,115
＜魚類＞　（まぐろ類）　くろまぐろ　天然　脂身　生,308
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　生,153
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　水煮,173
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　蒸し,187
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　電子レンジ調理,191
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　焼き,202
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　ソテー,194
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　天ぷら,222
＜魚類＞　（まぐろ類）　びんなが　生,111
＜魚類＞　（まぐろ類）　みなみまぐろ　赤身　生,88
＜魚類＞　（まぐろ類）　みなみまぐろ　脂身　生,322
＜魚類＞　（まぐろ類）　めじまぐろ　生,139
＜魚類＞　（まぐろ類） めばち　赤身　生,115
＜魚類＞　（まぐろ類） めばち　脂身　生,158
＜魚類＞　（まぐろ類）　缶詰　水煮　フレーク　ライト,70
＜魚類＞　（まぐろ類）　缶詰　水煮　フレーク　ホワイト,96
＜魚類＞　（まぐろ類）　缶詰　味付け　フレーク,134
＜魚類＞　（まぐろ類）　缶詰　油漬　フレーク　ライト,265
＜魚類＞　（まぐろ類）　缶詰　油漬　フレーク　ホワイト,279
＜魚類＞　マジェランあいなめ　生,243
＜魚類＞　まながつお　生,161
＜魚類＞　みなみくろたち　生,112
＜魚類＞　みなみだら　生,68
＜魚類＞　むつ　生,175
＜魚類＞　むつ　水煮,161
＜魚類＞　めじな　生,113
＜魚類＞　めばる　生,100
＜魚類＞　メルルーサ　生,73
＜魚類＞　やつめうなぎ　生,245
＜魚類＞　やつめうなぎ　干しやつめ,449
＜魚類＞　やまめ　養殖　生,110
＜魚類＞　わかさぎ　生,71
＜魚類＞　わかさぎ　つくだ煮,308
＜魚類＞　わかさぎ　あめ煮,301
＜貝類＞　あかがい　生,70
＜貝類＞　あげまき　生,44
＜貝類＞　あさり　生,27
＜貝類＞　あさり　つくだ煮,218
＜貝類＞　あさり　缶詰　水煮,102
＜貝類＞　あさり　缶詰　味付け,124
＜貝類＞　あわび　くろあわび　生,76
＜貝類＞　あわび　まだかあわび　生,74
＜貝類＞　あわび　めがいあわび　生,74
＜貝類＞　あわび　干し,257
＜貝類＞　あわび　塩辛,93
＜貝類＞　あわび　水煮缶詰,85
＜貝類＞　いがい　生,63
＜貝類＞　いたやがい　養殖　生,55
＜貝類＞　エスカルゴ　水煮缶詰,75
＜貝類＞　かき　養殖　生,58
＜貝類＞　かき　養殖　水煮,90
＜貝類＞　かき　養殖　フライ,256
＜貝類＞　かき　くん製油漬缶詰,294
＜貝類＞　さざえ　生,83
＜貝類＞　さざえ　焼き,91
＜貝類＞　さるぼう　味付け缶詰,131
＜貝類＞　しじみ　生,54
＜貝類＞　しじみ　水煮,95
＜貝類＞　たいらがい　貝柱　生,94
＜貝類＞　たにし　生,73
＜貝類＞　つぶ　生,82
＜貝類＞　とこぶし　生,78
＜貝類＞　とりがい　斧足　生,81
＜貝類＞　ばい　生,81
＜貝類＞　ばかがい　生,56
＜貝類＞　（はまぐり類）　はまぐり　生,35
＜貝類＞　（はまぐり類）　はまぐり　水煮,79
＜貝類＞　（はまぐり類）　はまぐり　焼き,70
＜貝類＞　（はまぐり類）　はまぐり　つくだ煮,211
＜貝類＞　（はまぐり類）　ちょうせんはまぐり　生,41
＜貝類＞　ほたてがい　生,66
＜貝類＞　ほたてがい　水煮,89
＜貝類＞　ほたてがい　貝柱　生,82
＜貝類＞　ほたてがい　貝柱　焼き,123
＜貝類＞　ほたてがい　貝柱　煮干し,301
＜貝類＞　ほたてがい　貝柱　水煮缶詰,87
＜貝類＞　ほっきがい　生,66
＜貝類＞　みるがい　水管　生,77
＜えび・かに類＞　（えび類）　あまえび　生,85
＜えび・かに類＞　（えび類）　いせえび　生,86
＜えび・かに類＞　（えび類）　くるまえび　養殖　生,90
＜えび・かに類＞　（えび類）　くるまえび　養殖　ゆで,116
＜えび・かに類＞　（えび類）　くるまえび　養殖　焼き,97
＜えび・かに類＞　（えび類）　さくらえび　生,78
＜えび・かに類＞　（えび類）　さくらえび　ゆで,82
＜えび・かに類＞　（えび類）　さくらえび　素干し,286
＜えび・かに類＞　（えび類）　さくらえび　煮干し,252
＜えび・かに類＞　（えび類）　大正えび　生,89
＜えび・かに類＞　（えび類）　しばえび　生,78
＜えび・かに類＞　（えび類）　バナメイえび　養殖　生,82
＜えび・かに類＞　（えび類）　バナメイえび　養殖　天ぷら,194
＜えび・かに類＞　（えび類）　ブラックタイガー　養殖　生,77
＜えび・かに類＞　（えび類）　加工品　干しえび,213
＜えび・かに類＞　（えび類）　加工品　つくだ煮,239
＜えび・かに類＞　（かに類）　がざみ　生,61
＜えび・かに類＞　（かに類）　毛がに　生,67
＜えび・かに類＞　（かに類）　毛がに　ゆで,78
＜えび・かに類＞　（かに類）　ずわいがに　生,59
＜えび・かに類＞　（かに類）　ずわいがに　ゆで,65
＜えび・かに類＞　（かに類）　ずわいがに　水煮缶詰,69
＜えび・かに類＞　（かに類）　たらばがに　生,56
＜えび・かに類＞　（かに類）　たらばがに　ゆで,77
＜えび・かに類＞　（かに類）　たらばがに　水煮缶詰,85
＜えび・かに類＞　（かに類）　加工品　がん漬,58
＜いか・たこ類＞　（いか類）　あかいか　生,81
＜いか・たこ類＞　（いか類）　けんさきいか　生,77
＜いか・たこ類＞　（いか類）　こういか　生,64
＜いか・たこ類＞　（いか類）　するめいか　生,76
＜いか・たこ類＞　（いか類）　するめいか　水煮,98
＜いか・たこ類＞　（いか類）　するめいか　焼き,108
＜いか・たこ類＞　（いか類）　するめいか　胴　皮つき　生,78
＜いか・たこ類＞　（いか類）　するめいか　胴　皮なし　生,80
＜いか・たこ類＞　（いか類）　するめいか　胴　皮なし　天ぷら,175
＜いか・たこ類＞　（いか類）　するめいか　耳・足　生,75
＜いか・たこ類＞　（いか類）　ほたるいか　生,74
＜いか・たこ類＞　（いか類）　ほたるいか　ゆで,91
＜いか・たこ類＞　（いか類）　ほたるいか　くん製,305
＜いか・たこ類＞　（いか類）　ほたるいか　つくだ煮,245
＜いか・たこ類＞　（いか類）　やりいか　生,79
＜いか・たこ類＞　（いか類）　加工品　するめ,304
＜いか・たこ類＞　（いか類）　加工品　さきいか,268
＜いか・たこ類＞　（いか類）　加工品　くん製,202
＜いか・たこ類＞　（いか類）　加工品　切りいかあめ煮,310
＜いか・たこ類＞　（いか類）　加工品　いかあられ,289
＜いか・たこ類＞　（いか類）　加工品　塩辛,114
＜いか・たこ類＞　（いか類）　加工品　味付け缶詰,127
＜いか・たこ類＞　（たこ類）　いいだこ　生,64
＜いか・たこ類＞　（たこ類）　まだこ　生,70
＜いか・たこ類＞　（たこ類）　まだこ　ゆで,91
＜いか・たこ類＞　（たこ類）　みずだこ　生,61
＜その他＞　あみ　つくだ煮,230
＜その他＞　あみ　塩辛,62
＜その他＞　うに　生うに,109
＜その他＞　うに　粒うに,172
＜その他＞　うに　練りうに,166
＜その他＞　おきあみ　生,84
＜その他＞　おきあみ　ゆで,78
＜その他＞　くらげ　塩蔵　塩抜き,21
＜その他＞　しゃこ　ゆで,89
＜その他＞　なまこ　生,22
＜その他＞　なまこ　このわた,54
＜その他＞　ほや　生,27
＜その他＞　ほや　塩辛,69
＜水産練り製品＞　かに風味かまぼこ,89
＜水産練り製品＞　黒はんぺん,119
＜水産練り製品＞　昆布巻きかまぼこ,83
＜水産練り製品＞　す巻きかまぼこ,89
＜水産練り製品＞　蒸しかまぼこ,93
＜水産練り製品＞　焼き抜きかまぼこ,102
＜水産練り製品＞　焼き竹輪,119
＜水産練り製品＞　だて巻,190
＜水産練り製品＞　つみれ,104
＜水産練り製品＞　なると,80
＜水産練り製品＞　はんぺん,93
＜水産練り製品＞　さつま揚げ,135
＜水産練り製品＞　魚肉ハム,155
＜水産練り製品＞　魚肉ソーセージ,158
＜畜肉類＞　いのしし　肉　脂身つき　生,249
＜畜肉類＞　いのぶた　肉　脂身つき　生,275
＜畜肉類＞　うさぎ　肉　赤肉　生,131
＜畜肉類＞　うし　［和牛肉］　かた　脂身つき　生,258
＜畜肉類＞　うし　［和牛肉］　かた　皮下脂肪なし　生,239
＜畜肉類＞　うし　［和牛肉］　かた　赤肉　生,183
＜畜肉類＞　うし　［和牛肉］　かた　脂身　生,692
＜畜肉類＞　うし　［和牛肉］　かたロース　脂身つき　生,380
＜畜肉類＞　うし　［和牛肉］　かたロース　皮下脂肪なし　生,373
＜畜肉類＞　うし　［和牛肉］　かたロース　赤肉　生,293
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　生,514
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　ゆで,539
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　焼き,541
＜畜肉類＞　うし　［和牛肉］　リブロース　皮下脂肪なし　生,502
＜畜肉類＞　うし　［和牛肉］　リブロース　赤肉　生,395
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身　生,674
＜畜肉類＞　うし　［和牛肉］　サーロイン　脂身つき　生,460
＜畜肉類＞　うし　［和牛肉］　サーロイン　皮下脂肪なし　生,422
＜畜肉類＞　うし　［和牛肉］　サーロイン　赤肉　生,294
＜畜肉類＞　うし　［和牛肉］　ばら　脂身つき　生,472
＜畜肉類＞　うし　［和牛肉］　もも　脂身つき　生,235
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　生,212
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　ゆで,302
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　焼き,300
＜畜肉類＞　うし　［和牛肉］　もも　赤肉　生,176
＜畜肉類＞　うし　［和牛肉］　もも　脂身　生,664
＜畜肉類＞　うし　［和牛肉］　そともも　脂身つき　生,244
＜畜肉類＞　うし　［和牛肉］　そともも　皮下脂肪なし　生,219
＜畜肉類＞　うし　［和牛肉］　そともも　赤肉　生,159
＜畜肉類＞　うし　［和牛肉］　ランプ　脂身つき　生,319
＜畜肉類＞　うし　［和牛肉］　ランプ　皮下脂肪なし　生,293
＜畜肉類＞　うし　［和牛肉］　ランプ　赤肉　生,196
＜畜肉類＞　うし　［和牛肉］　ヒレ　赤肉　生,207
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　生,231
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　ゆで,298
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　焼き,322
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　皮下脂肪なし　生,193
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　赤肉　生,138
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　赤肉　ゆで,174
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　赤肉　焼き,175
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身　生,650
＜畜肉類＞　うし　［乳用肥育牛肉］　かたロース　脂身つき　生,295
＜畜肉類＞　うし　［乳用肥育牛肉］　かたロース　皮下脂肪なし　生,285
＜畜肉類＞　うし　［乳用肥育牛肉］　かたロース　赤肉　生,196
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身つき　生,380
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身つき　ゆで,428
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身つき　焼き,457
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　皮下脂肪なし　生,351
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　赤肉　生,230
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身　生,703
＜畜肉類＞　うし　［乳用肥育牛肉］　サーロイン　脂身つき　生,313
＜畜肉類＞　うし　［乳用肥育牛肉］　サーロイン　皮下脂肪なし　生,253
＜畜肉類＞　うし　［乳用肥育牛肉］　サーロイン　赤肉　生,167
＜畜肉類＞　うし　［乳用肥育牛肉］　ばら　脂身つき　生,381
＜畜肉類＞　うし　［乳用肥育牛肉］　ばら　脂身つき　焼き,451
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　脂身つき　生,196
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　皮下脂肪なし　生,169
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　皮下脂肪なし　ゆで,235
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　皮下脂肪なし　焼き,227
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　赤肉　生,130
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　脂身　生,594
＜畜肉類＞　うし　［乳用肥育牛肉］　そともも　脂身つき　生,220
＜畜肉類＞　うし　［乳用肥育牛肉］　そともも　皮下脂肪なし　生,179
＜畜肉類＞　うし　［乳用肥育牛肉］　そともも　赤肉　生,131
＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　脂身つき　生,234
＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　皮下脂肪なし　生,203
＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　赤肉　生,142
＜畜肉類＞　うし　［乳用肥育牛肉］　ヒレ　赤肉　生,177
＜畜肉類＞　うし　［乳用肥育牛肉］　ヒレ　赤肉　焼き,238
＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　生,489
＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　ゆで,540
＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　焼き,575
＜畜肉類＞　うし　［交雑牛肉］　リブロース　皮下脂肪なし　生,438
＜畜肉類＞　うし　［交雑牛肉］　リブロース　赤肉　生,338
＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身　生,759
＜畜肉類＞　うし　［交雑牛肉］　ばら　脂身つき　生,445
＜畜肉類＞　うし　［交雑牛肉］　もも　脂身つき　生,312
＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　生,250
＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　ゆで,331
＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　焼き,313
＜畜肉類＞　うし　［交雑牛肉］　もも　赤肉　生,222
＜畜肉類＞　うし　［交雑牛肉］　もも　脂身　生,682
＜畜肉類＞　うし　［交雑牛肉］　ヒレ　赤肉　生,229
＜畜肉類＞　うし　［輸入牛肉］　かた　脂身つき　生,160
＜畜肉類＞　うし　［輸入牛肉］　かた　皮下脂肪なし　生,138
＜畜肉類＞　うし　［輸入牛肉］　かた　赤肉　生,114
＜畜肉類＞　うし　［輸入牛肉］　かた　脂身　生,537
＜畜肉類＞　うし　［輸入牛肉］　かたロース　脂身つき　生,221
＜畜肉類＞　うし　［輸入牛肉］　かたロース　皮下脂肪なし　生,219
＜畜肉類＞　うし　［輸入牛肉］　かたロース　赤肉　生,160
＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　生,212
＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　ゆで,307
＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　焼き,306
＜畜肉類＞　うし　［輸入牛肉］　リブロース　皮下脂肪なし　生,203
＜畜肉類＞　うし　［輸入牛肉］　リブロース　赤肉　生,163
＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身　生,653
＜畜肉類＞　うし　［輸入牛肉］　サーロイン　脂身つき　生,273
＜畜肉類＞　うし　［輸入牛肉］　サーロイン　皮下脂肪なし　生,218
＜畜肉類＞　うし　［輸入牛肉］　サーロイン　赤肉　生,127
＜畜肉類＞　うし　［輸入牛肉］　ばら　脂身つき　生,338
＜畜肉類＞　うし　［輸入牛肉］　もも　脂身つき　生,148
＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　生,133
＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　ゆで,204
＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　焼き,205
＜畜肉類＞　うし　［輸入牛肉］　もも　赤肉　生,117
＜畜肉類＞　うし　［輸入牛肉］　もも　脂身　生,580
＜畜肉類＞　うし　［輸入牛肉］　そともも　脂身つき　生,197
＜畜肉類＞　うし　［輸入牛肉］　そともも　皮下脂肪なし　生,178
＜畜肉類＞　うし　［輸入牛肉］　そともも　赤肉　生,117
＜畜肉類＞　うし　［輸入牛肉］　ランプ　脂身つき　生,214
＜畜肉類＞　うし　［輸入牛肉］　ランプ　皮下脂肪なし　生,174
＜畜肉類＞　うし　［輸入牛肉］　ランプ　赤肉　生,112
＜畜肉類＞　うし　［輸入牛肉］　ヒレ　赤肉　生,123
＜畜肉類＞　うし　［子牛肉］　リブロース　皮下脂肪なし　生,94
＜畜肉類＞　うし　［子牛肉］　ばら　皮下脂肪なし　生,113
＜畜肉類＞　うし　［子牛肉］　もも　皮下脂肪なし　生,107
＜畜肉類＞　うし　［ひき肉］　生,251
＜畜肉類＞　うし　［ひき肉］　焼き,280
＜畜肉類＞　うし　［副生物］　舌　生,318
＜畜肉類＞　うし　［副生物］　舌　焼き,401
＜畜肉類＞　うし　［副生物］　心臓　生,128
＜畜肉類＞　うし　［副生物］　肝臓　生,119
＜畜肉類＞　うし　［副生物］　じん臓　生,118
＜畜肉類＞　うし　［副生物］　第一胃　ゆで,166
＜畜肉類＞　うし　［副生物］　第二胃　ゆで,186
＜畜肉類＞　うし　［副生物］　第三胃　生,57
＜畜肉類＞　うし　［副生物］　第四胃　ゆで,308
＜畜肉類＞　うし　［副生物］　小腸　生,268
＜畜肉類＞　うし　［副生物］　大腸　生,150
＜畜肉類＞　うし　［副生物］　直腸　生,106
＜畜肉類＞　うし　［副生物］　腱　ゆで,152
